,role,text
10,assistant,"Лист плоский оц 0.7 1.370 1.25 62 шт | шт | 62
Лист плоский оц 0.7 1.327 1.25 72 шт | шт | 72
Лист  плоский оц 0.7 512 1.25 72 шт | шт | 72
Лист плоский оц 0.7 1.412 1.25 78 шт | шт | 78
Лист плоский оц  0.7 1.350 1.25 84 шт | шт | 84
"
11,user,"

From: Деркач Иван [mailto:KMPDerkach@outlook.com]
Sent: Tuesday, September 5, 2023 10:23 AM
To: Кальченко Татьяна Владимировна <kalchenko@spk.ru>
Subject: Заказ

ВНЕШНЯЯ ПОЧТА: Если отправитель неизвестен, не переходите по ссылкам, не отправляйте пароли, с осторожностью открывайте вложения.


Добрый день!

Прошу выставить счёт.

Круг 16 ГОСТ 2590-2006 Ст3 ГОСТ 380-2005, L=6000 мм
кг
28,400
Круг 20 ГОСТ 2590-2006 Ст3пс2-св ГОСТ 380-2005, L=6000 мм
кг
	125,700
Круг 20 ГОСТ 2590-2006 Сталь 30Х13 ГОСТ 5949-75, L=6000 мм
кг
194,800
Круг 24 ГОСТ 2590-2006 Сталь 20Х13 ГОСТ 5949-2018, L=6000 мм
кг
	21,500
Лист Б-ПН-О-0,5х1250х2500 ГОСТ 19904-90 Сталь 12Х18Н10Т ГОСТ 5582-75
	кг
	99,300
Лист Б-ПН-О-1,5х1250х1920 ГОСТ 19904-90 Сталь 08пс ГОСТ 16523-97
	кг
  12547,200
Лист Б-ПН-О-10,0х1500х3000 ГОСТ 19903-2015 Cталь 12Х18Н10Т ГОСТ 7350-77
	кг
357,700
Лист Б-ПН-О-2,0х1250х2500 ГОСТ 19904-90 12Х18Н10Т ГОСТ 5582-75
	кг
	1142,800
Лист Б-ПН-О-3,0х1250х2500 ГОСТ 19904-90 Cmаль 08пс ГОСТ 16523-97
кг
	8389,600
Лист Б-ПН-О-3,0х1250х2500 ГОСТ 19904-90 Cталь 12Х18Н10Т ГОСТ 5582-75
	кг
	223,500
Лист Б-ПН-О-5,0х1500х3000 ГОСТ 19903-2015 Сталь 12Х18Н10Т ГОСТ 7350-77
	кг
	178,800
Лист Б-ПН-О-5,0х1500х3000 ГОСТ19903-2015 Ст3пс2-св ГОСТ 14637-89
	кг
	529,800





С уважением,
Деркач Иван
Менеджер по продажам
ООО ''Компания ''МАСТЕРПРОФ''
г. Красноярск, ул. Связистов д.30б
+7 913 538 89 47
Уважаемые коллеги и партнеры,
Наша Компания придерживается этических принципов ведения бизнеса и делает все для того, чтобы взаимоотношения с нашими партнерами строились на принципах открытости и прозрачности. Поэтому просим Вас сообщать нам обо всех негативных фактах во взаимоотношениях с нашей компанией по адресу doverie@scm.ru. Вся информация поступает в независимую службу внутреннего аудита.
Претензии по качеству обслуживания или товара принимаются на телефон горячей линии 8-800-7000-123. Звонки по России бесплатно
"
12,assistant,"Круг 16 ГОСТ 2590-2006 Ст3 ГОСТ 380-2005, L=6000 мм кг 28,400 | кг | 28.400
Круг 20 ГОСТ 2590-2006 Ст3пс2-св ГОСТ 380-2005 L=6000мм кг 125,700 | кг |  125.700
Круг 20 ГОСТ 2590–2006 Сталь 30Х13 ГОСТ 5949–75 L=6000мм кг 194,800 | кг | 194.800
Круг 24 ГОСТ 2590–2006 Сталь 20 Х13 ГОСТ 5949 – 2018 L =6000мм кг 21,500 | кг | 21.500
Лист Б-ПН-О 0,5х1250 2500 ГОСТ 19904–90 Сталь 12Х18Н10Т ГОСТ 5582–75 кг 99,300 | кг | 99.300
Лист Б-ПН–О 1,5 1250 1920 ГОСТ 19904–90 Сталь 08 пс ГОСТ 16523–97 кг 12547,200 | кг | 12547.200
Лист Б–ПН–О 10,0 1500 3000 ГОСТ 19903–2015 Cталь 12 Х18 Н10Т ГОСТ 7350 –7 7 кг 357,700 | кг | 357.700
Лист Б–ПН–О 2,0 1250 2500 ГОСТ 19904–9012 Х18Н10Т ГОСТ 5582–75 кг 1142,800 | кг | 1142.800
Лист Б-ПН-О 3,0 1250 2500 ГОСТ 19904-90 Cmаль  08 пс ГОСТ 16523-97 кг 8389,600 | кг | 8389.600
Лист Б-ПН-О 3,0 1250 2500 ГОСТ 19904–90 Cталь 12Х18Н10Т ГОСТ 5582–75 кг 223,500 | кг | 223.500
Лист Б-ПН-О 5,0 1500 3000 ГОСТ 19903–20 15 Сталь 12X18H10T ГОСT 7350–77 кг 178,800 | кг | 178.800
Лист Б-ПН-О 5,0 1500 3000 ГОСТ 19903–2015 Ст3пс2 - св ГОСТ 14637–89 кг 529,800 | кг | 529.800
"
13,user,"
From: Николай Тагильцев <nvt@alfteh.ru>
Sent: Monday, September 11, 2023 8:07 AM
To: Якимов Никита Сергеевич <yakimov@spk.ru>
Cc: ms-ekb84@mail.ru
Subject: Заказ на счет

ВНЕШНЯЯ ПОЧТА: Если отправитель неизвестен, не переходите по ссылкам, не отправляйте пароли, с осторожностью открывайте вложения.


Добрый день! Заказ на счет

В продолжение разговора с РП, направляю Вам перечень трубной продукции. Прошу предоставить КП
№ п/п	Наименование  продукции	Ед.  Изм.	Кол-во
1.	Трубы
	51,227
1.1.	ТРУБЫ эл/св ГОСТ 10704-91, ГОСТ 10705-80 Группа В, Ст20, 273 * 10, НК, ТМК-КПВ
	т
	6,900
1.2	ТРУБЫ эл/св ГОСТ 10704-91, ГОСТ 10705-80 Группа В, Ст20, 89 * 3.5 , НД, СТЗ
	т
	0,175
1.3	ТРУБЫ эл/св ГОСТ 10704-91, ГОСТ 10705-80 Группа В, Ст20, 76 * 3, НК, СТЗ
т
	0,945
1.4	ТРУБЫ эл/св ГОСТ 10704-91, ГОСТ 10705-80 Группа В, Ст20, 219 * 6 , НД, СТЗ
т
	8,600
1.5	ТРУБЫ эл/св ГОСТ 10704-91, ГОСТ 10705-80 Группа В, Ст20, 325 * 6 , НД, ТМК-КПВ
	т
	2,850
1.6	ТРУБЫ эл/св ГОСТ 10704-91, ГОСТ 10705-80 Группа В, Ст20, 108 * 4 , НД, СТЗ
	т
	1,160
1.7	ТРУБЫ эл/св ГОСТ 10704-91, ГОСТ 10705-80 Группа В, Ст20, 57 * 3 , НД, СТЗ
	т
	11,873
1.8	ТРУБЫ эл/св ГОСТ 10704-91, ГОСТ 10705-80 Группа В, Ст20, 159 * 4,5 , НК, СТЗ
т
	18,700
1.9	Труба б/ш х/д ГОСТ 8734-75, ГОСТ 8733-74 Группа В, Ст20, 18 * 2 , НК, ПНТЗ
	т
0,024





--
С уважением,
Менеджер отдела снабжения ООО ''АльфаТех''
Тагильцев Николай
тел +7-922-079-03-35
Екатеринбург +7 (343) 243-59-49
Тюмень +7 (3452) 39-49-99
nvt@alfteh.ru
www.alfteh.ru
Оставляйте отзыв о нашей компании на Флампе 
http://flamp.ru/alfateh

Уважаемые коллеги и партнеры,
Наша Компания придерживается этических принципов ведения бизнеса и делает все для того, чтобы взаимоотношения с нашими партнерами строились на принципах открытости и прозрачности. Поэтому просим Вас сообщать нам обо всех негативных фактах во взаимоотношениях с нашей компанией по адресу doverie@scm.ru. Вся информация поступает в независимую службу внутреннего аудита.
Претензии по качеству обслуживания или товара принимаются на телефон горячей линии 8-800-7000-123. Звонки по России бесплатно
"
14,assistant,"
ТРУБЫ эл/св ГОСТ 10704-91, ГОСТ 10705-80 Группа В, Ст20, 273 * 10 НК, ТМК-КПВ т 6,900 | т | 6.900
ТРУБЫ эл/св ГОСТ 10704-91, ГОСТ 10705-80 Группа В, Ст20, 89 * 3.5 НД, СТЗ т 0,175 | т | 0.175
ТРУБЫ эл/св ГОСТ 10704-91, ГОСТ 10705-80 Группа В, Ст20, 76 * 3 НК, СТЗ т 0,945 | т | 0.945
ТРУБЫ эл/св ГОСТ 10704-91, ГОСТ 10705-80 Группа В, Ст20, 219 * 6 НД, СТЗ т 8,600 | т | 8.600
ТРУБЫ эл/св ГОСТ 10704-91, ГОСТ 10705-80 Группа В, Ст20, 325 * 6 НД, ТМК-КПВ т 2,850 | т | 2.850
ТРУБЫ эл/св ГОСТ 10704-91, ГОСТ 10705-80 Группа В, Ст20, 108 * 4 НД, СТЗ т 1,160 | т | 1.160
ТРУБЫ эл/св ГОСТ 10704-91, ГОСТ 10705-80 Группа В, Ст20, 57 * 3 НД, СТЗ т 11,873 | т | 11.873
ТРУБЫ эл/св ГОСТ 10704-91, ГОСТ 10705-80 Группа В, Ст20, 159 * 4,5 НК, СТЗ т 18,700 | т | 18.700
Труба б/ш х/д ГОСТ 8734-75, ГОСТ 8733-74 Группа В, Ст20, 18 * 2 НК, ПНТЗ т 0,024 | т | 0.024
"
15,user,"

From: Петрушин Максим Владимирович <petrushin@spk.ru>
Sent: Monday, September 11, 2023 9:59 AM
To: Пасечник Вероника Евгеньевна <pasechnik@spk.ru>
Subject: FW: заявка

1

From: РК ГРУПП ООО <rk-grouptorg@mail.ru>
Sent: Thursday, September 7, 2023 9:01 AM
To: Петрушин Максим Владимирович <petrushin@spk.ru>
Subject: заявка

ВНЕШНЯЯ ПОЧТА: Если отправитель неизвестен, не переходите по ссылкам, не отправляйте пароли, с осторожностью открывайте вложения.

Добрый день!
Прошу выставить счёт на Импульс:
Труба 80х80х3 — 2т.
Труба 40х40х2 — 1 пачка
Труба 60х40х2 — 1 пачка
Труба 60х40х3 — 1 пачка
Труба 50х25х2 — 1 пачка
Труба 40х20х1,5 — 1 пачка
Уголок 45х45х стенка самая тонкая — 2т.
Полоса 4х40 — 1т.
Швеллер 14 — 4шт. по 12м.
Швеллер 6 — 4шт. по 12м.
Лист чёрный горячекатан. рифлен. с рисунком не гладкий 4мм. 1,5х6 — 2шт.

------------------
С уважением ООО «РК ГРУПП»

ИНН 1656102142

Юр. адрес: 422470, Респ. Татарстан, Дрожжановский м.р-н, Стародрожжановское с.п., с. Новое Дрожжаное, ул. Молодёжная, дом 5, кв. 2.

тел. 8-965-623-8303, 8-960-037-1902, 8-967-872-2957

Почт. адрес:  420102, Респ Татарстан, г.Казань, ул. Г. Баруди, дом 11, кв. 159.

Уважаемые коллеги и партнеры,
Наша Компания придерживается этических принципов ведения бизнеса и делает все для того, чтобы взаимоотношения с нашими партнерами строились на принципах открытости и прозрачности. Поэтому просим Вас сообщать нам обо всех негативных фактах во взаимоотношениях с нашей компанией по адресу doverie@scm.ru. Вся информация поступает в независимую службу внутреннего аудита.
Претензии по качеству обслуживания или товара принимаются на телефон горячей линии 8-800-7000-123. Звонки по России бесплатно
"
16,assistant,"Труба 80х80х3 2т | тн | 2
Труба 40х40х2 1 пачка | шт | 1
Труба 60х40х2 1 пачка | шт | 1
Труба 60х40х3 1 пачка | шт | 1
Труба 50х25х2 1 пачка | шт | 1
Труба 40х20х1.5 1 пачка | шт | 1
Уголок 45х45 стенка самая тонкая 2т | тн | 2
Полоса 4х40 1т | тн | 1
Швеллер 14 4шт по 12м. | шт | 4
Швеллер 6 4шт по 12м. | шт | 4
Лист чёрный горячекатан. рифлен. с рисунком не гладкий 4мм 1,5х6 2шт | шт | 2
"
17,user,"

From: Петрушин Максим Владимирович <petrushin@spk.ru>
Sent: Monday, September 11, 2023 10:00 AM
To: Пасечник Вероника Евгеньевна <pasechnik@spk.ru>
Subject: FW: KZN

3

From: Farkhad.Makhu@pondera.ru <Farkhad.Makhu@pondera.ru>
Sent: Monday, September 4, 2023 2:59 PM
To: Farkhad.Makhu@pondera.ru
Subject: KZN

ВНЕШНЯЯ ПОЧТА: Если отправитель неизвестен, не переходите по ссылкам, не отправляйте пароли, с осторожностью открывайте вложения.

Добрый день

  Уголок 63x63x5 ГОСТ 8509-93С235 ГОСТ 27772-2021-0,06 тон

Уголок 40x40x4 ГОСТ 8509-93С235 ГОСТ 27772-2021-0.2тон
Лист стальной гост 19903-74, сталь С255-4 1500х10х3000-1 шт

Прошу направить расдельный счет лист

Best Regards, / С Уважением,
   Farkhad Makhu
  Фархад маху
   Procurement Specialist /   Специалист По Снабжению
  Reconstruction of the Reactor B, Kazanorgsintez PJSC
  Реконструкция реактора «В» завода ПППНД ПАО «Казаньоргсинтез»

  +7 917 889 78 81                         Farkhad.Makhu@pondera.ru
                         420051 Belomorskaya Ulitsa, 101, Kazan, Republic of Tatarstan
                                                          420006, Khlebozavodskaya 1, Kazan, Republic of Tatarstan
www.pondera.ru



Уважаемые коллеги и партнеры,
Наша Компания придерживается этических принципов ведения бизнеса и делает все для того, чтобы взаимоотношения с нашими партнерами строились на принципах открытости и прозрачности. Поэтому просим Вас сообщать нам обо всех негативных фактах во взаимоотношениях с нашей компанией по адресу doverie@scm.ru. Вся информация поступает в независимую службу внутреннего аудита.
Претензии по качеству обслуживания или товара принимаются на телефон горячей линии 8-800-7000-123. Звонки по России бесплатно
"
18,assistant,"Уголок 63x63x5 ГОСТ 8509-93С235 ГОСТ 27772-2021 0,06 тн | тн | 0.06
Уголок 40x40x4 ГОСТ 8509-93С235 ГОСТ 27772-2021 0.2тн | тн | 0.2
Лист стальной гост 19903-74, сталь С255-4 1500х10х3000 - 1 шт | шт | 1
"
19,user,"




ВНЕШНЯЯ ПОЧТА: Если отправитель неизвестен, не переходите по ссылкам, не отправляйте пароли, с осторожностью открывайте вложения.







-- Отправлено из Mail.ru для Android
 -------- Пересланное письмо -------- От: Шарипов Дамир Ирекович sharipovdi@spk.ru Кому: Damir Sharipov damir.sharipov23@mail.ru Дата: пятница, 03 мая 2024г., 13:52 +05:00 Тема: заявка 3. первое письмо







Арматура 10 а3 -1,5 тонны
Лист 5*1500*6000 — 4 шт
Лист 6*1500*6000 — 4 шт
Лист 10*1500*6000 — 2 шт
Лист 12*1500*6000 — 2 шт
Лист 20*1500*6000 — 1 шт
Уголок 100*100*8 — 2 тн
Круг 42 ст3 — 12 м
Шестигранник 27 — 6 м
Шестигранник 36 — 6 м
катанка прутки 3 м 6 мм - 500 кг
катанка в рулоне 3 мм - 50 кг
вязальная проволока - 50 кг
арматура  12 - 5 тонн
арматура 8 -2 тонны



Уважаемые коллеги и партнеры,
Наша Компания придерживается этических принципов ведения бизнеса и делает все для того, чтобы взаимоотношения с нашими партнерами строились на принципах открытости и прозрачности. Поэтому просим Вас сообщать нам обо всех  негативных фактах во взаимоотношениях с нашей компанией по адресу  doverie@scm.ru. Вся информация поступает в независимую службу внутреннего аудита.
Претензии по качеству обслуживания или товара принимаются на телефон горячей линии 8-800-7000-123. Звонки по России бесплатно








"
20,assistant,"Арматура 10 а3 1,5 тонны | тн | 1.5
Лист 5*1500*6000 4 шт | шт | 4
Лист 6*1500*6000 4 шт | шт | 4
Лист 10*1500*6000 2 шт | шт | 2
Лист 12*1500*6000 2 шт | шт | 2
Лист  20*1500*6000 1 шт | шт | 1
Уголок 100*100*8 2 тн | тн | 2
Круг 42 ст3 12 м | м | 12
Шестигранник 27 6 м | м | 6
Шестигранник  36 6 м | м | 6
Катанка прутки 3 м 6 мм 500 кг | кг | 500
Катанка в рулоне 3 мм 50 кг | кг | 50
Проволока вязальная 50 кг | кг | 50
Арматура 12 5 тонн | тн | 5
Арматура 8 2 тонны | тн | 2
"
21,user,"




ВНЕШНЯЯ ПОЧТА: Если отправитель неизвестен, не переходите по ссылкам, не отправляйте пароли, с осторожностью открывайте вложения.






Здравствуйте.  Прошу выставить счет на заявку [cynteka id 1152] –  скачать заявку,  плательщик: ООО СК ''БАЯЗЕТ'' – скачать.  Для отправки счета нажмите  ЗДЕСЬ.

1. Уголок63*5 (С245) - 54 м.п. (Секция1) (ID позиции 5270)
2. Лист5мм (с245)-1050*560 - 1 шт (Секция1) (ID позиции 5271)
3. Лист10мм(С245)200*200 - 22 шт (Секция1) (ID позиции 5272)

Дополнительная информация:
1. Поставить к 13.05.2024
2. Доставка не требуется
3. Уголок резка по 6 метров

4. Требуется отсрочка платежа, 30дней

Если необходимо задать вопрос по заявке, нажмите  ЗДЕСЬ.
 С уважением,  ООО СК ''БАЯЗЕТ''  Бачинин Игорь Михайлович  bachininim@skjbk.com  +7 (912) 686-43-43





"
22,assistant,"Уголок63*5 (С245) 54 м.п. | мп | 54
Лист5мм (с245)-1050*560 1 шт | шт | 1
Лист10мм(С245)200*200 22 шт | шт | 22"
23,user,"






ВНЕШНЯЯ ПОЧТА: Если отправитель неизвестен, не переходите по ссылкам, не отправляйте пароли, с осторожностью открывайте вложения.










6


Труба стальная ф20 х 2,8


м


10




7


                    Ф25 х 3,2


м


34




8


                                Ф32 х 3,2


м


40




9


                             Ф40 х 3,5


м


30




10


                                Ф57х3,5


м


80




11


                                Ф76х3,5


м


140




12


                                Ф89х4,0


м


40




13


                                Ф108х4,0


м


200




14


                           Ф133х4,0


м


70




15


                              Ф159х4,0


м


40




16


                              Ф219х4,0


м


40





Галина  , добрый день!




С уважением, Задорина Мария
Инжиниринговая компания СОК тел. (343) 361-72-33 e-mail: SOKgroup@mail.ru 624090, г. Верхняя Пышма, ул. Огнеупорщиков , 7





From: Гулакова Галина Вячеславовна [mailto:gulakova@spk.ru]
Sent: Wednesday, May 8, 2024 3:28 PM
To: sokgroup@mail.ru
Subject: СПК



Мария, только что разговаривали по заявке на металл



С уважением,
Гулакова Галина Вячеславовна
Менеджер отдела продаж «Строительный»
АО «Сталепромышленная компания»
620014 г. Екатеринбург, ул. Воеводина, Д. 8, эт.5, оф. 506
Тел./Факс: +7 (343) 385-85-05 (доб. 25-26)
моб. +7 964-488-10-08
E-mail: gulakova@spk.ru









ВНИМАНИЕ! ВЪЕЗД НА ТЕРРИТОРИЮ МЕТАЛЛОБАЗ ПО АДРЕСУ:
пр. Промышленный, 13. Въезд на базу с 07:15-16:00
ул. Бетонщиков, 5. Въезд на базу с 08:00-16:00
ул. Самолетная, 53. Въезд на базу с 08:00-16:00


Очень быстро оформить заказ можно тут https://b2b.spk.ru/

https://www.youtube.com/watch?v=Jvp3EKTNcUE

Уважаемые коллеги и партнеры,
Наша Компания придерживается этических принципов ведения бизнеса и делает все  для того, чтобы взаимоотношения с нашими партнерами строились на принципах открытости и прозрачности. Поэтому просим Вас сообщать нам обо всех негативных фактах во взаимоотношениях с нашей компанией по адресу doverie@scm.ru. Вся информация поступает в независимую службу внутреннего аудита.
Претензии по качеству обслуживания или товара принимаются на телефон горячей линии 8-800-7000-123. Звонки по России бесплатно






"
